relative_path,source_file,page,page_count,char_count,reason
171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,1,4,0,empty_text
171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,2,4,0,empty_text
171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,3,4,0,empty_text
171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,171110_np_arm-dpid_286-no-homologation-des-systemes-de-protection-de-site.pdf,4,4,0,empty_text
2005_rapport_senat_r05-2151.pdf,2005_rapport_senat_r05-2151.pdf,2,56,5,too_few_text_chars
2005_rapport_senat_r05-2151.pdf,2005_rapport_senat_r05-2151.pdf,4,56,5,too_few_text_chars
2005_rapport_senat_r05-2151.pdf,2005_rapport_senat_r05-2151.pdf,38,56,6,too_few_text_chars
2005_rapport_senat_r05-2151.pdf,2005_rapport_senat_r05-2151.pdf,46,56,6,too_few_text_chars
2005_rapport_senat_r05-2151.pdf,2005_rapport_senat_r05-2151.pdf,50,56,6,too_few_text_chars
20081006-np-cicde-pia-3312-drones-2008.pdf,20081006-np-cicde-pia-3312-drones-2008.pdf,3,25,0,empty_text
20081006-np-cicde-pia-3312-drones-2008.pdf,20081006-np-cicde-pia-3312-drones-2008.pdf,4,25,0,empty_text
20081006-np-cicde-pia-3312-drones-2008.pdf,20081006-np-cicde-pia-3312-drones-2008.pdf,5,25,0,empty_text
2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2,180,1,too_few_text_chars
2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,144,180,3,too_few_text_chars
2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,145,180,0,empty_text
2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,146,180,3,too_few_text_chars
2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,147,180,0,empty_text
2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,148,180,3,too_few_text_chars
2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,149,180,3,too_few_text_chars
2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,2011113_IGI 1300_Protection du secret de la defense nationale_NP.pdf,150,180,3,too_few_text_chars
20120606-NP-CICDE-RDIA-2012-010-ESDA-2012_future-DIA-3.3.8.pdf,20120606-NP-CICDE-RDIA-2012-010-ESDA-2012_future-DIA-3.3.8.pdf,11,64,2,too_few_text_chars
20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,2,44,0,empty_text
20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,8,44,0,empty_text
20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,12,44,0,empty_text
20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,14,44,0,empty_text
20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,20,44,0,empty_text
20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,38,44,0,empty_text
20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,20151016-NP-SGDSN_Strategie-nationale-securite-numerique.pdf,43,44,0,empty_text
20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,1,7,0,empty_text
20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,2,7,0,empty_text
20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,3,7,0,empty_text
20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,4,7,0,empty_text
20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,5,7,0,empty_text
20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,20160108_NP_CICDE_004-Lettre-grands-evenements-2.pdf,6,7,0,empty_text
